,rule,type,coef,support,importance
124,vel x > 0 and vel y <= 0 and vel y > 0 and angle > 0,rule,0.015907852912913672,0.08736,0.00449177123054555
167,vel y <= 0 and vel y > 0 and angleVel <= 0,rule,0.12962703093695616,0.08352,0.03586347039636479
158,pos y > 0 and vel x > 0.14102 and vel y <= 0 and vel y > 0.0 and angle > 0 and angleVel <= 0 and angleVel > 0,rule,0.1314563877620893,0.0832,0.036306188633877065
62,pos y <= 1 and vel x <= 0 and vel y > 0 and angleVel <= 0 and angleVel > 0,rule,-0.23478653954138953,0.08128,0.06415885839941994
70,pos y > 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angle <= 0.0,rule,-0.22398068769451931,0.08096,0.061096035568881005
75,vel y > 0.00602 and contact_1 <= 0,rule,-0.1322271926546881,0.08096,0.03606809742732022
130,pos y > 0 and vel x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angle <= 0 and angleVel > 0.0,rule,0.09217406074000202,0.07936,0.02491463163589236
98,vel x <= 0 and vel x > 0.01503 and vel y <= 0 and vel y > 0 and angle > 0 and angleVel <= 0,rule,0.07635450664565138,0.07712,0.020369989399442453
178,vel x <= 0 and vel y <= 0 and angleVel > 0,rule,0.05122000235525625,0.0768,0.013638546916963907
161,pos y <= 0 and vel x > 0.21425 and vel y <= 0.0 and vel y > 0,rule,0.017245511265803946,0.072,0.0044577561767831534
113,pos y <= 1 and pos y > 0 and vel y <= -0.15568 and angleVel <= 0 and angleVel > 0,rule,0.07137152332762202,0.06496,0.017589887804307137
67,pos y > 0 and vel x > 0 and vel y > 0 and contact_1 <= 0,rule,-0.1288944053291804,0.06304,0.03132583779121866
69,pos y > 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angle > 0,rule,-0.014715468024478144,0.05952,0.0034816116173546894
109,pos y > 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angle <= 0,rule,0.018837302319759865,0.0576,0.004388818169843128
64,vel y <= 0 and angle <= 0 and angleVel <= 0 and angleVel > 0,rule,-0.24328286075336586,0.05632,0.05608609619523526
145,pos y <= 0.05502 and vel y <= 0 and angleVel <= 0 and angleVel > 0,rule,0.05557786442562323,0.056,0.012778558505640114
53,pos y <= 0 and vel x > 0 and vel y > 0,rule,-0.08202413799946136,0.056,0.01885913136701207
88,vel y <= 0 and vel y > 0 and angleVel > 0.00017,rule,-0.18803422807124529,0.05408,0.04252873422084118
54,pos y > 0 and vel x > 0.00125 and vel y > 0,rule,-0.003760810806821642,0.05344,0.0008458411017056842
60,pos y <= 0 and vel x > 0 and vel y <= 0 and vel y > 0.0 and angle <= 0.0 and angleVel <= 0,rule,-0.39300979167642097,0.05344,0.08839153370058657
