pos x,pos y,vel x,vel y,angle,angleVel,contact_1,contact_2,action
0.051463414,0.126802042,-0.076447383,-0.11849691,0.169336602,-0.046444543,0,0,2
0.004122925,0.144409284,0.245427653,-0.114864692,0.116038136,0.017059989,0,0,2
-0.298915386,0.954383314,0.298928082,-0.621860802,-0.16309765,0.153668329,0,0,2
-0.138258547,0.331085742,0.363518059,-0.340944558,0.069578864,0.062353592,0,0,2
-0.046524238,-0.001307585,0.036417581,-4.07e-08,-0.001421903,-5.59e-08,1,1,0
-0.291728109,0.526855886,0.256487995,-0.460652709,0.01089531,0.02320111,0,0,2
0.009463501,0.106852561,0.159539223,-0.121151805,0.075294279,0.021110548,0,0,2
-0.235278651,0.560156345,0.352715939,-0.442804605,0.042806469,0.015824161,0,0,2
-0.223036438,0.317389458,0.300869614,-0.329653651,0.053744908,-0.015572084,0,0,2
-0.073159024,0.200307235,0.21299243,-0.167902276,0.09095566,-0.006727208,0,0,2
0.021976089,-0.000506392,-2.21e-05,-5.46e-08,0.003716387,6.46e-06,1,1,0
-0.031217862,-0.000653341,2.11e-06,3.33e-09,-0.000609196,-6.34e-07,1,1,0
-0.059298895,1.456391454,-0.715986371,0.160192788,0.013232326,-0.075404748,0,0,0
-0.141586587,1.245122313,-0.598284066,-0.444858432,-0.120056249,-0.203636438,0,0,2
-0.088079646,0.062916338,0.161693528,-0.091169432,0.065254778,-0.009154318,0,0,0
-0.066384509,0.045534335,0.047404937,-0.037091959,0.033307534,-0.044653472,0,0,2
0.005961227,0.014165006,0.018780079,0.015414195,0.073131658,-0.017383028,0,0,0
-0.16094847,0.570207119,0.274368346,-0.412888914,0.02190835,0.059837807,0,0,2
0.044293117,0.109198175,-0.099984854,-0.120525911,0.154645771,-0.025252927,0,0,2
-0.01159544,0.053567443,0.271494746,-0.074748039,0.159229383,0.078646302,0,0,2
-0.267922103,0.428950757,0.26497519,-0.324218631,0.063335568,0.006629015,0,0,2
-0.121788308,0.115444504,0.186989248,-0.144304454,0.059322558,-0.015784824,0,0,2
-0.1102231,1.391424417,-0.66369921,-0.25354895,-0.050660167,-0.151279181,0,0,3
-0.379879296,1.099303961,-0.146171242,-0.109814361,-0.556569934,0.040052269,0,0,2
